venue,n_race,date
HV,14,1989/10/14
HV,14,1989/10/18
ST,14,1989/10/21
HV,14,1989/10/25
ST,14,1989/10/29
HV,14,1990/01/01
ST,14,1989/12/02
ST,14,1990/01/07
HV,14,1990/01/10
ST,14,1990/01/13
HV,14,1990/01/17
ST,14,1990/01/20
HV,14,1990/01/29
ST,14,1989/12/10
HV,14,1989/12/13
ST,14,1989/12/17
HV,14,1989/12/20
ST,14,1989/12/23
ST,14,1990/03/03
HV,14,1990/02/03
HV,14,1990/03/07
ST,14,1990/03/11
HV,14,1990/03/14
ST,14,1990/03/17
HV,14,1990/03/21
ST,14,1990/03/25
HV,14,1990/03/28
HV,14,1990/03/31
HV,14,1990/02/07
ST,14,1990/02/10
HV,14,1990/02/14
ST,14,1990/02/17
HV,14,1990/02/21
ST,14,1990/02/25
HV,14,1990/02/28
ST,14,1990/05/05
HV,14,1990/04/07
HV,14,1990/05/09
ST,14,1990/05/13
HV,14,1990/05/16
ST,14,1990/05/19
HV,14,1990/05/23
ST,14,1990/05/27
HV,14,1990/04/11
ST,14,1990/04/14
ST,14,1990/04/16
ST,14,1990/04/21
HV,14,1990/04/25
ST,14,1990/04/29
ST,14,1990/06/02
HV,14,1990/06/06
ST,14,1990/06/10
HV,14,1990/06/16
HV,14,1990/06/23
ST,14,1990/10/07
HV,14,1990/09/15
HV,14,1990/10/10
ST,14,1990/10/13
HV,14,1990/10/17
ST,14,1990/10/20
HV,14,1990/10/24
HV,14,1990/10/27
HV,14,1990/09/19
HV,14,1990/09/22
HV,14,1990/09/26
ST,14,1990/09/29
ST,14,1990/12/01
ST,14,1990/11/03
HV,14,1990/12/05
HV,14,1990/12/08
HV,14,1990/12/12
ST,14,1990/12/16
HV,14,1990/12/19
ST,14,1990/12/29
HV,14,1990/11/07
ST,14,1990/11/10
HV,14,1990/11/17
HV,14,1990/11/21
ST,14,1990/11/25
HV,14,1990/11/28
ST,14,1991/02/02
HV,14,1991/01/01
HV,14,1991/02/06
ST,14,1991/02/09
HV,14,1991/02/17
HV,14,1991/02/20
ST,14,1991/02/24
HV,14,1991/02/27
ST,14,1991/01/05
HV,14,1991/01/09
ST,14,1991/01/13
HV,14,1991/01/16
ST,14,1991/01/19
ST,14,1991/01/27
HV,14,1991/01/30
HV,14,1991/04/03
ST,14,1991/03/02
HV,14,1991/04/06
HV,14,1991/04/10
ST,14,1991/04/13
HV,14,1991/04/17
ST,14,1991/04/21
HV,14,1991/04/24
ST,14,1991/04/27
HV,14,1991/03/06
ST,14,1991/03/10
ST,14,1991/03/16
HV,14,1991/03/20
ST,14,1991/03/23
HV,14,1991/03/27
ST,14,1991/03/30
ST,14,1991/06/01
HV,14,1991/05/04
HV,14,1991/06/05
ST,14,1991/06/09
HV,14,1991/05/08
ST,14,1991/05/12
HV,14,1991/05/15
ST,14,1991/05/18
ST,14,1991/05/26
